System Timestamp	Message	Message Type	GT_depth	World Gaze Point X	World Gaze Point Y	World Gaze Point Z	World Gaze Origin R X	World Gaze Origin R Z	World Gaze Origin L X	World Gaze Origin L Z	World Gaze Direction R X	World Gaze Direction R Y	World Gaze Direction R Z	World Gaze Direction L X	World Gaze Direction L Y	World Gaze Direction L Z	Estimated Depth
63817692369093	 sample	DepthCalibration	0.989726792360439	-0.03189886	0.1826617	9.136127	0.03037981	-0.026	-0.03245892	-0.026	-0.05572375	0.006642566	0.9984241	0.04899869	0.0331643	0.9982481	11.7503080736465
63817692369258	 sample	DepthCalibration	1.04628634627821	-0.02324648	0.1265201	7.810696	0.03037981	-0.026	-0.03245892	-0.026	-0.05122265	0.00315598	0.9986823	0.04556311	0.02908828	0.9985379	7.68678181411636
63817692369258	 sample	DepthCalibration	1.04628634627821	-0.02324648	0.1265201	7.810696	0.03037981	-0.026	-0.03245892	-0.026	-0.05122265	0.00315598	0.9986823	0.04556311	0.02908828	0.9985379	7.68678181411636
63817692369262	 sample	DepthCalibration	1.04809465103932	-0.0181045	0.1208119	7.412186	0.03037981	-0.026	-0.03245892	-0.026	-0.05014532	0.00335169	0.9987363	0.04556311	0.02908828	0.9985379	17.8032717201608
63817692369263	 sample	DepthCalibration	1.04809465103932	-0.0181045	0.1208119	7.412186	0.03037981	-0.026	-0.03245892	-0.026	-0.05014532	0.00335169	0.9987363	0.04556311	0.02908828	0.9985379	17.8032717201608
63817692369278	 sample	DepthCalibration	1.05349013566811	-0.01789005	0.1132697	7.248922	0.03037981	-0.026	-0.03245892	-0.026	-0.04972485	0.002949782	0.9987586	0.04509851	0.02814864	0.9985859	12.3508120791878
63817692369279	 sample	DepthCalibration	1.05349013566811	-0.01789005	0.1132697	7.248922	0.03037981	-0.026	-0.03245892	-0.026	-0.04972485	0.002949782	0.9987586	0.04509851	0.02814864	0.9985859	12.3508120791878
63817692369292	 sample	DepthCalibration	1.05813329613414	-0.01783756	0.1129498	7.365061	0.03037981	-0.026	-0.03245892	-0.026	-0.05002262	0.002417399	0.9987451	0.04548323	0.02810545	0.9985697	6.24328213569546
63817692369293	 sample	DepthCalibration	1.05813329613414	-0.01783756	0.1129498	7.365061	0.03037981	-0.026	-0.03245892	-0.026	-0.05002262	0.002417399	0.9987451	0.04548323	0.02810545	0.9985697	6.24328213569546
63817692369457	 sample	DepthCalibration	1.11120658437839	-0.01285884	0.05341633	4.601396	0.03037981	-0.026	-0.03245892	-0.026	-0.04390749	0.0006582982	0.9990354	0.03880413	0.02240596	0.9989956	4.68098227125441
63817692369458	 sample	DepthCalibration	1.11120658437839	-0.01285884	0.05341633	4.601396	0.03037981	-0.026	-0.03245892	-0.026	-0.04390749	0.0006582982	0.9990354	0.03880413	0.02240596	0.9989956	4.68098227125441
63817692369475	 sample	DepthCalibration	1.1170124370289	-0.01010775	0.04647668	4.044993	0.03037981	-0.026	-0.03245892	-0.026	-0.04282974	0.0008540124	0.999082	0.03837894	0.02195744	0.999022	4.49403974311475
63817692369475	 sample	DepthCalibration	1.1170124370289	-0.01010775	0.04647668	4.044993	0.03037981	-0.026	-0.03245892	-0.026	-0.04282974	0.0008540124	0.999082	0.03837894	0.02195744	0.999022	4.49403974311475
63817692369480	 sample	DepthCalibration	1.11875714560843	-0.01383827	0.04770367	4.232323	0.03037981	-0.026	-0.03245892	-0.026	-0.04318897	0.0007887745	0.9990666	0.03718341	0.02159532	0.9990751	4.49041066938973
